acc_timestamp_usec,acc_x,acc_y,acc_z,gyro_timestamp_usec,gyro_x,gyro_y,gyro_z
2839533,0.0769926,-0.00964251,-9.79534,2839533,-0.00225027,0.00780617,0.00792202
2840144,0.0628979,-0.00489557,-9.80955,2840144,-0.00287735,0.00841361,0.00547756
2840755,0.0627072,-0.0191227,-9.77148,2840755,-0.0028307,0.00902332,0.0109666
2841355,0.0768736,-0.0191283,-9.77155,2841355,-0.00226544,0.00963033,0.0060929
2841966,0.0815731,-0.0238777,-9.76682,2841966,-0.00101151,0.00719902,0.0109815
2842577,0.0815354,0.00937968,-9.76204,2842577,-0.00172719,0.00415433,-0.00183177
2843177,0.0343065,0.0284008,-9.76178,2843177,-0.00105862,0.00415644,0.00549183
2843788,0.043694,-0.0143492,-9.74758,2843788,-0.000467286,0.00598071,0.00366785
2844400,0.0816771,0.023613,-9.79059,2844400,0.000191282,0.00780713,0.0097722
2845000,0.0629811,0.033097,-9.82856,2845000,0.000735739,0.00780525,0.00245889
2845611,0.0439149,-0.014377,-9.79042,2845611,0.000777109,0.00780658,0.00733786
2846222,0.0627261,-0.00487397,-9.77623,2846222,-0.0022705,0.0102384,0.0054832
2846822,0.0674728,-0.00487891,-9.78101,2846822,-0.000995081,0.0120653,0.0128124
2847433,0.0626581,-0.0191165,-9.76196,2847433,-0.0016795,0.010238,0.00365872
2848044,0.081441,-0.000109199,-9.743,2848044,0.000212425,0.0102407,0.0122123
2848644,0.0768907,-0.000128942,-9.7763,2848644,-0.000451772,0.0059812,0.00549747
2849255,0.0344933,-0.00962575,-9.79513,2849255,-0.00161813,0.00659068,0.0109762
2849866,0.0485578,-0.000117768,-9.77615,2849866,-0.00105782,0.00841396,0.00549299
2850466,0.100509,-0.0191407,-9.77643,2850466,0.00262789,0.00902435,0.0110128
2851077,0.0864727,-0.038153,-9.80017,2851077,0.00194359,0.00780532,0.00185931
2851688,0.0581851,-0.0286468,-9.80954,2851688,0.00202104,0.00719959,0.0110072
2852300,0.0769133,0.00461859,-9.78105,2852300,0.00134776,0.00963019,0.0030744
2852900,0.0956792,0.00462657,-9.75735,2852900,0.000216564,0.00476687,0.0128207
2853511,0.0721232,-0.00962213,-9.76676,2853511,0.000139225,0.00598082,0.00367299
2854111,0.05348,-0.00964554,-9.81426,2854111,-0.00039983,0.0071993,0.0115965
2854722,0.0722365,0.0141155,-9.79055,2854722,-0.00170627,0.00537143,0.000608046
2855333,0.0766716,-0.00485178,-9.73346,2855333,0.0014043,0.00780736,0.00978249
2855933,0.0485936,-0.0286245,-9.78093,2855933,0.00135834,0.010847,0.00429448
2856544,0.0487825,-0.00964677,-9.819,2856544,-0.00223924,0.0114558,0.00914275
2857155,0.0484708,-0.0286091,-9.75713,2857155,9.79714e-05,0.00658771,-0.00120581
2857766,0.0389604,-0.0475986,-9.74281,2857766,0.00016577,0.00963095,0.00672334
2858366,0.0438469,-0.0286196,-9.77615,2858366,-0.000466712,0.00902179,0.00366868
2858977,0.0485559,0.00463284,-9.77615,2858977,-0.00226119,0.00476476,0.00670145
2859588,0.0579153,0.0331421,-9.7619,2859588,-0.000425687,0.00719847,0.00854715
2860188,0.0439111,-0.00487578,-9.79041,2860188,-0.00104782,0.00658964,0.00671223
2860800,0.0298485,-0.0191344,-9.80939,2860800,0.000159567,0.00415683,0.00611198
2861411,0.058104,-0.00963506,-9.79525,2861411,0.000148997,0.00294007,0.00489191
2862011,0.0486162,-0.023877,-9.78569,2862011,0.000771593,0.00598176,0.00672749
2862622,0.0295785,-0.0191004,-9.75703,2862622,-0.00112528,0.00719537,-0.00243567
2863233,0.0153875,-0.0190917,-9.75219,2863233,-0.00103277,0.00415727,0.00854118
2863833,0.0485314,0.00463593,-9.77139,2863833,0.0019691,0.00598149,0.00490816
2864444,0.0296484,-0.00960846,-9.7713,2864444,0.000211509,0.00537492,0.012211
2865055,0.0201889,-0.0333547,-9.76651,2865055,0.000751024,0.00658932,0.00428818
2865666,0.0769302,-0.0381369,-9.78108,2865666,-0.00040523,0.0059827,0.0109863
